Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.5
9,25.0
10,27.500000000000004
11,30.0
12,32.5
13,35.0
14,37.5
15,39.75
16,41.75
17,43.75
18,45.5
19,47.75
20,50.0
21,52.25
22,54.50000000000001
23,56.49999999999999
24,58.25
25,60.0
26,61.0
27,62.0
28,63.24999999999999
29,64.5
30,65.75
31,67.25
32,68.5
33,69.75
34,71.25
35,73.0
36,74.0
37,74.75
38,75.5
39,76.0
40,77.0
41,78.25
42,79.0
43,79.75
44,80.25
45,81.25
46,82.25
47,83.25
48,84.25
49,85.25
50,86.0
