Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.5
9,25.0
10,27.500000000000004
11,30.0
12,32.5
13,35.0
14,37.25
15,39.5
16,41.25
17,43.0
18,44.5
19,46.0
20,47.25
21,48.0
22,49.0
23,50.0
24,51.0
25,52.0
26,53.0
27,54.0
28,55.00000000000001
29,56.00000000000001
30,56.99999999999999
31,57.99999999999999
32,59.0
33,60.0
34,61.0
35,62.0
36,62.74999999999999
37,63.5
38,64.25
39,65.25
40,66.25
41,67.25
42,68.25
43,69.25
44,70.25
45,71.25
46,72.25
47,73.25
48,74.25
49,75.0
50,75.75
