Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,14.75
6,17.25
7,19.75
8,22.25
9,24.75
10,27.250000000000004
11,29.75
12,32.25
13,34.75
14,36.75
15,38.25
16,39.75
17,41.25
18,42.25
19,43.25
20,44.25
21,45.0
22,46.0
23,47.0
24,48.0
25,49.0
26,50.24999999999999
27,51.5
28,52.5
29,53.75
30,55.00000000000001
31,56.25
32,57.49999999999999
33,58.75
34,60.0
35,61.25000000000001
36,62.5
37,63.74999999999999
38,65.0
39,66.25
40,67.5
41,68.75
42,70.0
43,71.25
44,72.5
45,73.5
46,74.25
47,75.0
48,75.75
49,76.5
50,77.5
