Step,Coverage
1,5.0
2,6.75
3,8.5
4,10.0
5,11.75
6,12.5
7,13.25
8,14.249999999999998
9,15.0
10,15.75
11,17.0
12,18.0
13,19.5
14,20.5
15,21.25
16,22.5
17,24.25
18,25.25
19,27.0
20,27.750000000000004
21,28.249999999999996
22,29.25
23,29.75
24,30.5
25,31.25
26,32.5
27,33.25
28,34.0
29,35.25
30,36.0
31,37.0
32,37.5
33,37.75
34,38.25
35,39.25
36,40.0
37,40.5
38,41.5
39,41.75
40,42.0
41,42.5
42,42.75
43,43.25
44,43.5
45,43.75
46,44.25
47,44.5
48,44.75
49,45.0
50,45.25
