Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,14.75
6,16.75
7,18.75
8,20.75
9,22.75
10,24.75
11,26.75
12,28.999999999999996
13,31.25
14,33.25
15,35.5
16,37.25
17,39.0
18,41.0
19,43.0
20,45.0
21,46.0
22,47.25
23,48.25
24,49.0
25,50.0
26,51.24999999999999
27,52.5
28,53.75
29,55.00000000000001
30,56.25
31,57.49999999999999
32,58.75
33,60.5
34,62.0
35,63.5
36,65.0
37,66.5
38,68.0
39,69.25
40,70.25
41,71.5
42,72.75
43,74.0
44,74.75
45,75.5
46,76.0
47,76.5
48,77.0
49,77.5
50,78.0
