Step,Coverage
1,4.75
2,7.249999999999999
3,9.75
4,12.0
5,14.499999999999998
6,17.0
7,19.5
8,22.0
9,24.5
10,27.0
11,29.25
12,31.5
13,33.5
14,35.5
15,37.5
16,39.75
17,42.0
18,44.0
19,45.75
20,47.75
21,48.75
22,49.5
23,50.5
24,51.74999999999999
25,52.75
26,54.0
27,55.25
28,56.49999999999999
29,57.49999999999999
30,58.5
31,59.5
32,60.75000000000001
33,61.75000000000001
34,63.0
35,64.25
36,65.5
37,66.5
38,66.75
39,67.25
40,67.75
41,68.25
42,68.75
43,69.25
44,69.75
45,70.5
46,71.0
47,71.25
48,71.25
49,71.5
50,71.5
