Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.5
9,25.0
10,27.500000000000004
11,29.75
12,32.25
13,34.25
14,35.75
15,38.0
16,39.75
17,41.0
18,42.5
19,44.5
20,46.25
21,47.0
22,48.0
23,49.25
24,50.5
25,51.74999999999999
26,53.0
27,54.25
28,55.25
29,56.25
30,57.25
31,58.25
32,59.25
33,60.5
34,61.25000000000001
35,62.25000000000001
36,63.24999999999999
37,64.5
38,65.75
39,66.75
40,68.0
41,69.25
42,70.5
43,71.75
44,73.0
45,74.25
46,75.0
47,76.25
48,77.0
49,78.0
50,79.25
