Step,Coverage
1,5.0
2,7.5
3,10.0
4,12.5
5,15.0
6,17.5
7,20.0
8,22.5
9,25.0
10,27.250000000000004
11,29.5
12,31.75
13,33.75
14,36.0
15,38.25
16,40.25
17,42.5
18,44.25
19,46.25
20,48.25
21,50.0
22,51.74999999999999
23,53.5
24,55.00000000000001
25,56.49999999999999
26,57.99999999999999
27,59.75
28,61.25000000000001
29,63.0
30,64.5
31,66.25
32,68.0
33,69.75
34,71.0
35,72.5
36,73.5
37,74.5
38,75.25
39,76.25
40,77.5
41,78.5
42,79.5
43,80.5
44,81.0
45,81.75
46,82.75
47,83.0
48,83.25
49,84.0
50,84.75
