Step,Coverage
1,5.0
2,6.25
3,7.5
4,8.75
5,10.25
6,12.25
7,13.750000000000002
8,15.0
9,15.75
10,16.5
11,17.5
12,18.25
13,20.0
14,21.25
15,22.25
16,23.25
17,23.5
18,23.5
19,24.25
20,24.5
21,24.5
22,24.75
23,25.0
24,25.75
25,26.5
26,27.500000000000004
27,28.000000000000004
28,28.249999999999996
29,28.499999999999996
30,28.499999999999996
31,28.749999999999996
32,29.5
33,30.0
34,30.75
35,31.25
36,32.0
37,32.75
38,33.25
39,33.75
40,34.25
41,34.5
42,34.75
43,35.5
44,35.75
45,36.0
46,36.25
47,36.75
48,37.0
49,37.25
50,38.0
