Step,Coverage
1,5.0
2,6.75
3,8.25
4,9.0
5,10.0
6,11.0
7,11.75
8,13.0
9,14.249999999999998
10,15.75
11,17.25
12,18.0
13,19.25
14,20.75
15,22.0
16,23.5
17,24.75
18,25.5
19,26.5
20,27.0
21,27.250000000000004
22,27.500000000000004
23,27.750000000000004
24,28.249999999999996
25,28.749999999999996
26,28.999999999999996
27,28.999999999999996
28,29.25
29,29.25
30,29.5
31,29.75
32,30.0
33,30.25
34,30.5
35,31.0
36,31.0
37,31.5
38,32.25
39,32.75
40,33.25
41,33.75
42,34.25
43,34.75
44,35.0
45,35.5
46,35.75
47,35.75
48,36.0
49,36.25
50,36.75
